well_id,original
158158233,200.0
158158235,134.0
158158237,168.0
158158239,200.0
158158241,200.0
158158243,202.0
158158245,202.0
158158247,176.0
158158249,178.0
158158251,156.0
158158253,136.0
158158255,200.0
158158257,170.0
158158261,202.0
158158263,196.0
158158265,150.0
158158267,156.0
158158269,108.0
158158271,108.0
158158273,170.0
158158275,152.0
158158277,156.0
158158279,186.0
158158281,170.0
158158283,156.0
158158285,156.0
158158287,170.0
158158289,116.0
158158291,140.0
158158293,134.0
158158295,134.0
158158297,168.0
158158299,200.0
158158301,156.0
158158303,170.0
158158305,198.0
158158307,140.0
158158309,134.0
158158311,134.0
158158313,178.0
158158315,200.0
158158317,156.0
158158319,136.0
158158321,146.0
158158325,202.0
158158327,124.0
158158329,196.0
158158331,170.0
158158333,134.0
158158335,136.0
158158337,146.0
158158341,184.0
158158343,124.0
158158345,202.0
158158347,200.0
158158349,134.0
158158351,124.0
158158353,146.0
158158355,184.0
158158357,152.0
158158359,202.0
158158361,156.0
158158363,200.0
158158365,124.0
158158367,146.0
158158369,110.0
158158371,178.0
158158373,184.0
158158375,156.0
158158377,156.0
158158379,108.0
158158381,124.0
158158383,156.0
158158385,136.0
158158387,178.0
158158389,178.0
158158391,156.0
158158393,134.0
158158395,136.0
158158397,200.0
158158399,124.0
158402846,192.0
158402862,134.0
158402878,150.0
158402894,110.0
158402910,146.0
158402926,130.0
158402942,146.0
159225722,136.0
159225738,130.0
159225754,130.0
159225770,130.0
159225786,158.0
159225802,130.0
159225818,162.0
159225834,136.0
159225850,162.0
159225866,130.0
159225882,130.0
159226035,178.0
159226037,172.0
159226053,194.0
159226055,136.0
159226069,140.0
159226071,136.0
159226085,140.0
159226087,168.0
159226099,140.0
159226103,116.0
159226109,134.0
159226117,172.0
159226119,116.0
159226125,124.0
159226133,152.0
159226135,146.0
159226141,124.0
159226147,134.0
159226149,168.0
159226151,146.0
159226155,118.0
159226157,172.0
159226163,124.0
159226165,140.0
159226167,146.0
159226171,118.0
159226173,174.0
159226179,134.0
159226183,110.0
159226187,118.0
159226195,124.0
159226199,136.0
159226203,118.0
159226213,124.0
159226215,162.0
159226219,118.0
159439107,148.0
160091580,118.0
160091612,188.0
160091883,136.0
99,144.0
129,200.0
131,148.0
137,200.0
145,108.0
177,116.0
178,154.0
185,146.0
186,154.0
193,200.0
194,138.0
195,146.0
203,146.0
218,170.0
227,110.0
234,108.0
235,110.0
241,192.0
242,108.0
257,126.0
265,126.0
275,130.0
281,106.0
282,170.0
305,116.0
306,110.0
322,136.0
323,142.0
345,152.0
347,148.0
355,180.0
361,170.0
362,154.0
363,166.0
370,154.0
371,144.0
378,144.0
385,148.0
389,184.0
390,196.0
393,192.0
397,184.0
401,170.0
405,184.0
410,102.0
413,184.0
421,178.0
426,104.0
429,168.0
434,166.0
437,168.0
442,166.0
443,204.0
449,154.0
450,206.0
451,204.0
458,206.0
459,204.0
460,152.0
465,144.0
466,206.0
467,204.0
469,196.0
477,196.0
482,202.0
483,102.0
485,124.0
490,134.0
491,164.0
493,124.0
497,110.0
498,134.0
501,118.0
506,156.0
509,118.0
514,134.0
524,204.0
529,136.0
532,204.0
539,164.0
540,202.0
548,156.0
553,124.0
556,202.0
561,162.0
562,192.0
564,156.0
565,188.0
569,124.0
570,102.0
572,134.0
573,120.0
578,194.0
579,196.0
586,152.0
593,164.0
596,202.0
602,184.0
612,156.0
618,178.0
620,156.0
626,178.0
628,156.0
634,178.0
636,156.0
642,178.0
644,134.0
650,178.0
652,202.0
658,196.0
659,134.0
666,196.0
667,134.0
673,146.0
674,194.0
677,156.0
681,108.0
691,186.0
698,140.0
699,186.0
706,140.0
715,202.0
716,124.0
722,196.0
723,186.0
730,178.0
731,186.0
738,184.0
739,186.0
746,184.0
748,134.0
754,184.0
756,156.0
771,134.0
773,172.0
777,118.0
779,134.0
787,156.0
795,156.0
803,156.0
811,202.0
825,154.0
841,144.0
844,134.0
852,124.0
858,134.0
859,114.0
860,124.0
866,140.0
873,196.0
874,144.0
875,114.0
882,192.0
883,202.0
890,184.0
891,202.0
892,202.0
898,184.0
899,182.0
900,156.0
905,194.0
906,164.0
907,174.0
908,156.0
914,164.0
915,182.0
916,134.0
924,134.0
932,134.0
953,140.0
961,166.0
963,184.0
964,156.0
969,134.0
970,194.0
972,156.0
973,124.0
974,124.0
978,192.0
980,134.0
982,124.0
986,144.0
988,134.0
989,124.0
990,172.0
994,144.0
997,140.0
998,172.0
1002,144.0
1005,140.0
1010,144.0
1018,184.0
1026,184.0
1036,174.0
1050,178.0
1051,202.0
1065,202.0
1161,178.0
1219,200.0
1235,108.0
1243,108.0
1265,156.0
1281,202.0
1289,192.0
1297,202.0
1313,124.0
1321,136.0
1337,156.0
4522,148.0
4530,148.0
4538,148.0
4540,194.0
4541,134.0
4546,192.0
4547,142.0
4553,142.0
4556,144.0
4561,154.0
4562,192.0
4563,148.0
4569,192.0
4572,184.0
4573,118.0
4577,148.0
4578,142.0
4580,184.0
4581,114.0
4586,192.0
4587,142.0
4589,104.0
4593,126.0
4594,144.0
4597,182.0
4602,206.0
4611,142.0
4613,180.0
4615,134.0
4617,148.0
4620,102.0
4625,148.0
4629,126.0
4635,166.0
4636,188.0
4637,204.0
4642,148.0
4643,166.0
4649,102.0
4651,148.0
4652,164.0
4658,148.0
4659,166.0
4660,164.0
4665,102.0
4668,120.0
4669,192.0
4677,192.0
4681,144.0
4682,102.0
4683,102.0
4686,202.0
4689,144.0
4691,192.0
4692,148.0
4694,156.0
4697,206.0
4698,142.0
4702,156.0
4801,192.0
4802,178.0
4803,178.0
4809,102.0
4813,156.0
4820,136.0
4821,124.0
4826,186.0
4827,168.0
4828,136.0
4829,124.0
4834,208.0
4836,168.0
4837,156.0
4851,168.0
4852,108.0
4860,108.0
4866,184.0
4875,200.0
4882,168.0
4883,196.0
4890,184.0
4897,152.0
4899,178.0
4901,200.0
4909,170.0
4913,148.0
4916,140.0
4917,170.0
4918,108.0
4924,140.0
4926,146.0
4934,146.0
4939,202.0
4942,146.0
4947,202.0
4948,192.0
4955,156.0
4956,184.0
4963,134.0
4971,134.0
4973,170.0
4979,152.0
4981,136.0
4982,130.0
4986,184.0
4987,140.0
4989,136.0
4990,130.0
5049,194.0
5065,194.0
5066,184.0
5073,140.0
